#,Name,Price,Area(sqft),Build_Time,Type,Location,Distance_to_MRT,Availability,Beds_num,Baths_num,Is_room,District_id,Longitude,Latitude
1,305 Tampines Street 32,950,120,1992,HDB,305 Tampines Street 32,490,Everyone Welcome,1,0,Yes,,,
2,183B Boon Lay Avenue,1100,150,2013,HDB,183B Boon Lay Avenue,940,Everyone Welcome,1,0,Yes,,,
3,102 Jurong East Street 13,600,731,1981,HDB,102 Jurong East Street 13,720,Everyone Welcome,1,0,Yes,,,
4,346 Yishun Avenue 11,1100,200,1988,HDB,346 Yishun Avenue 11,1160,Everyone Welcome,1,0,Yes,,,
5,944 Hougang Street 92,750,150,1997,HDB,944 Hougang Street 92,1210,Everyone Welcome,1,0,Yes,,,
6,558 Hougang Street 51,800,150,1990,HDB,558 Hougang Street 51,690,Everyone Welcome,1,0,Yes,,,
7,106 Bukit Purmei Road,1450,300,1983,HDB,106 Bukit Purmei Road,1180,"Female only, up to 2 pax",1,1,Yes,,,
8,123 Hougang Avenue 1,750,150,1981,HDB,123 Hougang Avenue 1,1440,Everyone Welcome,1,0,Yes,,,
9,275D Compassvale Link,1600,1001,2007,HDB,275D Compassvale Link,50,Everyone Welcome,1,0,Yes,,,
10,2A Geylang Serai,3800,1033,2010,HDB,2A Geylang Serai,750,Everyone Welcome,1,1,Yes,,,
11,381 Tampines Street 32,900,90,1993,HDB,381 Tampines Street 32,710,Female only,1,0,Yes,,,
12,125 Bishan Street 12,1000,150,1986,HDB,125 Bishan Street 12,770,Female only,1,0,Yes,,,
13,235 Bukit Batok East Avenue 5,1000,150,1984,HDB,235 Bukit Batok East Avenue 5,1140,Everyone Welcome,1,0,Yes,,,
14,513C Yishun Street 51,850,100,2017,HDB,513C Yishun Street 51,1700,Female environment,1,0,Yes,,,
15,3 Haig Road,1250,120,1975,HDB,3 Haig Road,1030,Lady or couple,1,0,Yes,,,
16,28 Ghim Moh Link,1200,120,2011,HDB,28 Ghim Moh Link,850,Everyone Welcome,1,0,Yes,,,
17,481 Segar Road,850,150,2000,HDB,481 Segar Road,480,Single lady,1,0,Yes,,,
